country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386,0.374,0.297,0.311,0.286,0.301,0.249,0.293,0.262,0.237,0.244,0.228,0.221,0.206,0.211,0.205,0.203,0.211
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364,0.315,0.288,0.259,0.245,0.227,0.22,0.22,0.205,0.188,0.177,0.172,0.168,0.168,0.18,0.182,0.188,0.196,0.2,0.198,0.198,0.19,0.184,0.186
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.084,0.0975,0.0923,0.0981,0.0944,0.0769,0.0754,0.0757,0.0659,0.0934,0.0847,0.0811,0.0877,0.0985,0.103,0.116,0.122,0.119,0.12,0.12
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0665,0.0703,0.09,0.129,0.0629,0.0566,0.0816,0.0584,0.062,0.0625,0.0506,0.0519,0.0524,0.0481,0.0662,0.0618,0.0585,0.0607,0.0651,0.0755,0.0912,0.0983,0.1,0.0861,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,0.0497,0.0449,0.0358,0.0307,0.0296,0.027,0.0268,0.0204,0.0213,0.0187,0.0191,0.0177,0.0171,0.0178,0.0178,0.018,0.0175,0.0158,0.0164,0.0162,0.0172,0.0167,0.0167,0.0159,0.0161,0.0173,0.0175,0.0161,0.0176,0.0165,0.0161,0.0155,0.015,0.0163,0.0193,0.019,0.0202,0.0166,0.0161,0.0157,0.0179,0.0173,0.0176
Argentina,,,,,,0.129,0.103,0.0998,0.0972,0.0919,0.0964,0.109,0.11,0.12,0.102,0.0658,0.0815,0.0809,0.075,0.078,0.0635,0.0648,0.096,0.0866,0.0835,0.0763,0.078,0.0809,0.0898,0.0962,0.0812,0.0672,0.0599,0.0514,0.0508,0.0535,0.0561,0.0522,0.0525,0.0446,0.0468,0.0457,0.102,0.103,0.0836,0.0794,0.0694,0.0745,0.0732,0.0527,0.0713,0.07,0.0578,0.0605,0.0671,0.0516,0.0626,0.0548,0.061,0.072
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,0.184,0.181,0.172,0.164,0.15,0.139,0.12
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0421,0.0318,0.0305,0.0326,0.0335,0.0302,0.0339,0.0324,0.0304,0.0306,0.0312,0.035,0.0395,0.0289,0.0306,0.0288,0.0273,0.022,0.0234,0.0229,0.022,0.0228,0.0225,0.0228,0.0222,0.0237,0.024,0.027,0.0246,0.0209
Austria,,,,,,,,,,,,,,,,,0.0511,0.0441,0.0441,0.0429,0.0433,0.0397,0.0365,0.0341,0.0358,0.0314,0.0323,0.032,0.0305,0.0301,0.031,0.0281,0.0245,0.022,0.0237,0.0216,0.0198,0.0191,0.0179,0.0172,0.0165,0.0167,0.0156,0.0149,0.0148,0.0126,0.013,0.0142,0.0134,0.0115,0.0127,0.014,0.0135,0.0125,0.012,0.0113,0.0111,0.012,0.0115,0.0113
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,0.305,0.261,0.271,0.323,0.253,0.25,0.201,0.181,0.184,0.161,0.148,0.14,0.124,0.11,0.0915,0.0709,0.0654,0.0557,0.0612,0.0554,0.0508,0.0514,0.0537,0.0532,0.0618,0.0561,0.0561,0.0521,0.0572
